"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
4.3.1,information,Error,,The title has no narrative content.,{me:iati-url('{activity-standard/iati-activities/iati-activity/title/}')},title,not($itemnode/narrative) or not($itemnode/narrative[functx:trim(.)!=''])
4.4.1,information,Error,,The description has no narrative content.,{me:iati-url('{activity-standard/iati-activities/iati-activity/title/}')},description,not($itemnode/narrative) or not($itemnode/narrative[functx:trim(.)!=''])
4.5.1,organisation,Error,iati,"The organisation should specify a default language, or the language should be specified for each narrative element.",{me:iati-url('codelists/Language/')},iati-organisation,not(./@xml:lang) and descendant::narrative[not(@xml:lang)]
6.1.5,documents,Error,iati,The document format must be present.,https://drive.google.com/file/d/1TI9PU5dyyRE2IzervFPUZz_Xfue16xYC/view?usp=sharing,document-link,not(@format) or @format=''
6.10.1,participating,Error,iati,The participating organisation must have an identifier or a narrative.,https://drive.google.com/file/d/1BOJTMbKxDZJldIBsw71mkomYPm_lkNJi/view,participating-org,not(@ref) and not(narrative)
6.11.1,information,Error,iati,The activity must have a planned or actual start date.,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,"not(activity-date[@type=('1', '2')])"
6.13.1,classifications,Error,iati,"When using a reporting organisation policy marker, it must include a narrative.",https://drive.google.com/file/d/15JQzYc4rUNqwtP-nmtY7h9tHB2i_Isw7/view,policy-marker[@vocabulary='99'],not(narrative)
6.14.1,classifications,Error,iati,"When using a policy marker for vocabulary 1, it must include a significance.",https://drive.google.com/file/d/15JQzYc4rUNqwtP-nmtY7h9tHB2i_Isw7/view,policy-marker[(@vocabulary='1') or not(@vocabulary)],not(@significance)
6.2.1,information,Error,iati,Activity Status must be present.,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,not(activity-status)
6.2.2,classifications,Error,iati,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[not(sector)],not(transaction[sector])
6.3.1,identifiers,Error,iati,Organisation Type must be present.,,reporting-org,not(@type) or @type=''
6.6.2,classifications,Error,iati,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[sector],transaction/sector
6.7.2,classifications,Error,iati,"If transactions have a sector classification, they must be used for all transactions.",https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[not(sector)],transaction[not(sector)]
6.8.1,information,Error,iati,The owner organisation must have an identifier or a narrative.,,owner-org,not(@ref) and not(narrative)
